Sub,Group,Phase,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
5,1,1,30,50,10,75,40,10,50,70,90,90,80,90
7,1,1,20,35,25,70,35,10,70,80,70,90,100,90
9,1,1,12,30,31,50,50,80,20,37,60,80,50,50
11,1,1,61,38,19,33,66,20,27,45,31,90,85,80
12,1,1,5,5,22,87,84,0,87,89,100,100,100,91
5,1,2,10,29,20,70,30,10,70,80,90,90,90,95
7,1,2,35,35,30,75,70,30,65,80,40,70,85,80
9,1,2,11,38,39,60,22,66,31,50,70,69,70,70
11,1,2,49,39,29,60,44,17,45,59,34,73,94,85
12,1,2,50,33,14,77,71,6,41,61,72,81,86,84
5,1,3,20,40,20,70,35,6,70,75,90,90,80,80
7,1,3,25,25,40,85,28,20,75,90,80,70,85,90
9,1,3,15,31,37,65,40,30,30,65,76,62,65,30
11,1,3,57,38,33,65,67,24,41,61,48,94,81,91
12,1,3,69,45,32,73,90,8,73,81,75,82,87,82
3,2,1,20,10,40,46,36,10,29,34,27,29,79,66
6,2,1,59,57,36,46,77,52,25,36,57,68,82,69
8,2,1,19,42,54,71,40,56,27,74,60,95,88,68
10,2,1,60,50,30,40,70,55,40,40,30,10,100,55
13,2,1,74,97,50,53,95,75,30,60,86,97,90,26
3,2,2,25,14,49,53,52,45,41,53,34,36,63,45
6,2,2,69,63,61,59,57,65,66,71,67,61,73,71
8,2,2,37,52,72,40,29,59,40,71,64,62,79,99
10,2,2,40,30,30,60,40,35,60,60,50,50,90,60
13,2,2,85,84,65,75,69,65,80,48,84,94,95,81
3,2,3,25,18,44,38,61,49,24,56,23,38,60,52
6,2,3,61,56,74,40,56,59,42,70,58,74,49,49
8,2,3,28,28,60,61,20,15,42,83,61,76,73,73
10,2,3,40,40,45,50,50,50,40,65,50,50,85,56
13,2,3,87,94,69,71,72,64,65,68,95,92,81,73
